ಸರ್ವೆ ನಂಬರ್,ಖಾತಾ ಸಂಖ್ಯೆ,ಮಾಲೀಕರ ಹೆಸರು,Property Type,Tax Paid (Rs),Assessment Year
3/5,K-03005,Prakash Prasad,Mixed Use,12500,2026
4/4,K-04004,Kiran Rao,Residential,2400,2026
2/8,K-02008,Vinay Patil,Mixed Use,8100,2026
1/7,K-01007,Shwetha Bhat,Commercial,3600,2026
2/5,K-02005,Shwetha Rao,Residential,3600,2026
1/4,K-01004,Vinay Hegde,Mixed Use,12500,2026
5/2,K-05002,Meera Naik,Residential,12500,2026
1/3,K-01003,Priya Gowda,Residential,8100,2026
5/2,K-05002,Asha Shetty,Mixed Use,12500,2026
2/8,K-02008,Rekha Prasad,Residential,3600,2026
3/5,K-03005,Vidya Prasad,Mixed Use,3600,2026
3/1,K-03001,Divya Reddy,Residential,8100,2026
5/2,K-05002,Manjunath Bhat,Commercial,12500,2026
4/6,K-04006,Divya Naik,Commercial,5200,2026
